Time,Data
0.199 sec,-1.07125030002497
0.2 sec,-1.07908774822294
0.201 sec,-1.08691590643299
0.202 sec,-1.09473383010559
0.203 sec,-1.10254057555186
0.204 sec,-1.11033520003654
0.205 sec,-1.11811676187098
0.206 sec,-1.12588432050593
0.207 sec,-1.13363693662438
0.208 sec,-1.14137367223417
0.209 sec,-1.1490935907606
0.21 sec,-1.15679575713883
0.211 sec,-1.16447923790624
0.212 sec,-1.17214310129461
0.213 sec,-1.17978641732214
0.214 sec,-1.18740825788535
0.215 sec,-1.19500769685083
0.216 sec,-1.20258381014677
0.217 sec,-1.21013567585432
0.218 sec,-1.21766237429883
0.219 sec,-1.2251629881408
0.22 sec,-1.23263660246665
0.221 sec,-1.24008230487933
0.222 sec,-1.24749918558861
0.223 sec,-1.25488633750122
0.224 sec,-1.26224285631068
0.225 sec,-1.26956784058695
0.226 sec,-1.27686039186573
0.227 sec,-1.28411961473759
0.228 sec,-1.29134461693672
0.229 sec,-1.29853450942948
0.23 sec,-1.30568840650259
0.231 sec,-1.31280542585105
0.232 sec,-1.31988468866572
0.233 sec,-1.32692531972064
0.234 sec,-1.33392644745991
0.235 sec,-1.34088720408433
0.236 sec,-1.34780672563765
0.237 sec,-1.35468415209243
0.238 sec,-1.36151862743564
0.239 sec,-1.36830929975374
0.24 sec,-1.3750553213175
0.241 sec,-1.38175584866635
0.242 sec,-1.38841004269238
0.243 sec,-1.39501706872392
0.244 sec,-1.40157609660867
0.245 sec,-1.40808630079646
0.246 sec,-1.4145468604215
0.247 sec,-1.42095695938431
0.248 sec,-1.42731578643307
0.249 sec,-1.43362253524456
0.25 sec,-1.43987640450471
0.251 sec,-1.44607659798853
0.252 sec,-1.4522223246397
0.253 sec,-1.45831279864957
0.254 sec,-1.46434723953572
0.255 sec,-1.47032487221997
0.256 sec,-1.47624492710594
0.257 sec,-1.48210664015601
0.258 sec,-1.4879092529678
0.259 sec,-1.49365201285012
0.26 sec,-1.49933417289834
0.261 sec,-1.50495499206923
0.262 sec,-1.51051373525527
0.263 sec,-1.51600967335829
0.264 sec,-1.52144208336268
0.265 sec,-1.52681024840791
0.266 sec,-1.53211345786048
0.267 sec,-1.53735100738532
0.268 sec,-1.54252219901654
0.269 sec,-1.5476263412276
0.27 sec,-1.55266274900083
0.271 sec,-1.55763074389634
0.272 sec,-1.56252965412031
0.273 sec,-1.56735881459264
0.274 sec,-1.57211756701394
0.275 sec,-1.57680525993186
0.276 sec,-1.58142124880682
0.277 sec,-1.58596489607695
0.278 sec,-1.59043557122253
0.279 sec,-1.5948326508296
0.28 sec,-1.59915551865298
0.281 sec,-1.60340356567852
0.282 sec,-1.60757619018474
0.283 sec,-1.61167279780368
0.284 sec,-1.61569280158113
0.285 sec,-1.61963562203605
0.286 sec,-1.62350068721934
0.287 sec,-1.62728743277181
0.288 sec,-1.63099530198155
0.289 sec,-1.63462374584037
0.29 sec,-1.63817222309965
0.291 sec,-1.64164020032535
0.292 sec,-1.64502715195234
0.293 sec,-1.64833256033787
0.294 sec,-1.65155591581437
0.295 sec,-1.65469671674138
0.296 sec,-1.65775446955681
0.297 sec,-1.6607286888273
0.298 sec,-1.6636188972979
0.299 sec,-1.66642462594086
0.3 sec,-1.66914541400368
0.301 sec,-1.67178080905636
0.302 sec,-1.67433036703778
0.303 sec,-1.67679365230134
0.304 sec,-1.67917023765974
0.305 sec,-1.68145970442894
0.306 sec,-1.68366164247128
0.307 sec,-1.68577565023784
0.308 sec,-1.68780133480982
0.309 sec,-1.68973831193925
0.31 sec,-1.69158620608874
0.311 sec,-1.69334465047039
0.312 sec,-1.69501328708391
0.313 sec,-1.6965917667538
0.314 sec,-1.69807974916574
0.315 sec,-1.6994769029021
0.316 sec,-1.70078290547651
0.317 sec,-1.70199744336766
0.318 sec,-1.70312021205219
0.319 sec,-1.70415091603663
0.32 sec,-1.70508926888857
0.321 sec,-1.7059349932669
0.322 sec,-1.70668782095108
0.323 sec,-1.70734749286969
0.324 sec,-1.70791375912788
0.325 sec,-1.70838637903411
0.326 sec,-1.70876512112587
0.327 sec,-1.70904976319454
0.328 sec,-1.7092400923093
0.329 sec,-1.70933590484023
0.33 sec,-1.7093370064804
0.331 sec,-1.70924321226707
0.332 sec,-1.709054346602
0.333 sec,-1.70877024327083
0.334 sec,-1.70839074546154
0.335 sec,-1.70791570578195
0.336 sec,-1.70734498627639
0.337 sec,-1.70667845844132
0.338 sec,-1.70591600324013
0.339 sec,-1.70505751111693
0.34 sec,-1.7041028820095
0.341 sec,-1.70305202536117
